INDEX;CONC;PREC;TMAX;TMIN;VMIN;DIR;VMAX
11/01/09;0.32;0.0;11.2;3.6;0;0;0
12/01/09;0;0.0;13.2;-0.4;0;0;0
11/02/09;0;2.0;12.2;3;0;0;0
12/02/09;0;0.0;11.6;0.9;0;0;0
11/03/09;0;0.4;16.5;5.3;0;0;0
12/03/09;0;0.0;18;2.1;0;0;0
11/04/09;0;2.6;24.8;10.8;0;0;0
12/04/09;0;0.0;23.8;9.5;0;0;0
11/05/09;0;0.0;28.4;9.1;0;0;0
12/05/09;0;0.0;28.7;10.8;0;0;0
11/06/09;0;0.0;27.4;14.7;0;0;0
12/06/09;0;0.0;27.8;14.8;0;0;0
11/07/09;0;0.2;28.8;13.4;0;0;0
12/07/09;0;0.2;29.4;14;0;0;0
11/08/09;0;0.0;33.5;20.7;0;0;0
12/08/09;0;0.0;33.9;17.7;0;0;0
11/09/09;0;0.0;28.8;14.6;0;0;0
12/09/09;0;0.0;29.7;16.9;0;0;0
12/10/09;0;2.8;26.1;15;0;0;0
29/10/09;0;0.0;21.1;7.3;0;0;0
30/10/09;0.32;0.2;19.5;6.9;0;0;0
31/10/09;0.64;0.0;19.7;8.5;0;0;0
12/11/09;0;0.0;16;2.1;0;0;0
16/11/09;0;0.0;17.1;12.2;0;0;0
17/11/09;0;0.0;20.1;7.3;0;0;0
18/11/09;0;0.0;19.3;8.3;0;0;0
19/11/09;0;0.0;18.8;6.3;0;0;0
20/11/09;0;0.2;18;5.5;0;0;0
21/11/09;0;0.0;15.6;4.3;0;0;0
22/11/09;0;0.0;17.6;5.9;0;0;0
23/11/09;0;0.0;17;9.9;0;0;0
24/11/09;0;0.4;17.2;11;0;0;0
25/11/09;0;0.0;17.7;7.6;0;0;0
26/11/09;0;0.0;17.5;7.1;0;0;0
27/11/09;0;0.0;16.9;8.4;0;0;0
28/11/09;0;4.4;18.6;10.1;0;0;0
29/11/09;0;0.0;17;6.7;0;0;0
30/11/09;0;0.4;15.6;10.6;0;0;0
12/12/09;0;0.0;13;-0.5;0;0;0
13/12/09;0;0.0;11.3;0.4;0;0;0
14/12/09;0;1.0;8.4;3.3;0;0;0
15/12/09;0;0.0;5.7;1.5;0;0;0
16/12/09;0;0.0;3.7;0.3;0;0;0
17/12/09;0;10.2;6;-0.2;0;0;0
18/12/09;0;1.2;3.6;-1;0;0;0
19/12/09;0;2.2;4.4;-2.8;0;0;0
20/12/09;0.32;1.8;0.8;-9.6;0;0;0
21/12/09;0;5.6;2.2;-8.6;0;0;0
22/12/09;0;16.6;3.1;-2.3;0;0;0
23/12/09;0.64;24.0;13.6;3.1;0;0;0
24/12/09;0.32;3.0;17.7;12.1;0;0;0
25/12/09;0;11.6;16.9;13.9;0;0;0
26/12/09;0;1.4;17.3;3.3;0;0;0
27/12/09;0;0.4;9.1;4.7;0;0;0
28/12/09;0;0.2;11.6;1.5;0;0;0
29/12/09;0;8.0;8.3;3.3;0;0;0
30/12/09;0;5.4;10.5;7.2;0;0;0
31/12/09;0;3.4;13.7;9.8;0;0;0
01/01/10;0;42.4;9.8;8.1;1.0;3;3.0
02/01/10;0;15.6;12.6;2.4;2.1;4;6.9
03/01/10;0;0.0;7.3;-0.9;1.3;6;3.3
04/01/10;1.28;0.2;2.6;1.2;1.2;1;3.3
05/01/10;27.87;14.4;4;1.6;1.8;2;6.1
06/01/10;56.70;22.4;7.7;3.1;0.8;0;4.9
07/01/10;24.99;8.6;11.1;3.2;0.9;1;2.0
08/01/10;0;3.8;11.2;6.2;0.9;5;3.1
13/01/10;0;0.0;9.1;1.5;1.9;3;6.0
14/01/10;0;0.0;9.8;-0.5;1.7;0;5.1
15/01/10;0;0.0;9.2;5.1;6.0;1;8.5
16/01/10;0;0.0;8.3;0.8;3.5;0;6.7
17/01/10;0;0.0;5.1;1.5;0.4;6;1.4
18/01/10;0;0.4;11.1;-0.2;1.9;5;5.3
19/01/10;0.32;0.0;12.1;-2.3;0.5;6;1.3
20/01/10;0;0.0;6.2;-3;0.6;3;1.4
21/01/10;0;0.2;11.5;0;3.1;0;6.2
22/01/10;0.32;0.0;8.4;-3;2.3;5;5.9
23/01/10;0;0.0;8.2;-1.4;2.8;0;5.6
24/01/10;0;0.0;8.5;-3.8;0.5;3;1.6
25/01/10;0;0.0;8.7;3.3;3.3;6;6.6
26/01/10;0;0.0;4.1;2.6;5.6;1;7.6
27/01/10;0;0.2;6.2;2;6.8;1;11.1
28/01/10;0;0.0;6.9;-4.1;0.8;1;4.0
29/01/10;0;0.0;6.2;-3.4;0.6;6;1.3
30/01/10;0;15.0;9.4;3.1;1.2;6;4.4
31/01/10;0;2.0;5.2;-1.7;3.4;1;7.8
01/02/10;0;0.0;7.9;-5;1.0;1;2.4
02/02/10;0;0.0;7.6;-5.4;0.8;3;1.6
03/02/10;0.32;0.0;5.6;-1.5;0.5;1;1.2
04/02/10;0.64;2.4;11.6;4;0.8;1;1.9
05/02/10;18.26;1.6;9.1;6.9;1.5;5;3.4
06/02/10;11.21;11.0;7.1;4;1.3;7;4.1
07/02/10;20.50;0.2;11;1.5;3.3;1;6.5
08/02/10;6.41;0.0;9.4;-0.8;2.4;3;5.4
13/02/10;0;0.2;9.1;-3;0.9;5;2.0
14/02/10;0;0.0;9.7;-1.1;3.0;3;7.1
15/02/10;0;0.2;11.9;1.2;1.4;1;5.2
16/02/10;0;0.8;8.7;5.6;2.7;1;6.2
17/02/10;0;0.8;15.5;5.9;2.4;0;6.1
18/02/10;0;17.0;15.2;8.7;1.0;1;2.4
19/02/10;0;3.4;13;9.5;1.9;3;4.3
20/02/10;0.64;20.0;11.2;3.3;1.7;4;3.3
21/02/10;0;0.0;13.6;0;1.1;3;5.4
22/02/10;0;4.4;13.4;6.3;1.1;3;1.9
23/02/10;0.32;19.4;14.4;8.6;1.1;1;2.8
24/02/10;0.96;0.6;16;7.1;0.9;6;2.4
25/02/10;0;0.0;15.9;5.9;1.0;5;3.6
26/02/10;0;0.8;16.3;7.7;2.1;3;4.7
27/02/10;0.96;9.4;15.9;3;0.9;3;1.9
28/02/10;0.64;0.0;13.4;6.9;0.9;4;2.4
01/03/10;0.32;0.4;17.1;6.9;1.3;7;3.2
02/03/10;0;6.8;16.9;5.8;1.2;7;3.4
03/03/10;0;0.0;9.4;4.7;1.7;6;7.6
04/03/10;3.20;20.6;8.9;3.8;4.3;1;8.5
05/03/10;4.48;0.6;7.6;2.5;3.9;1;7.2
06/03/10;12.49;0.2;10.5;-1.8;1.6;0;3.6
07/03/10;19.54;0.0;9.1;-0.3;5.2;6;8.6
08/03/10;0.32;0.0;5.5;0.7;5.0;1;7.7
13/03/10;0;0.8;13.8;-0.6;0.8;1;1.7
14/03/10;0.64;0.0;15.3;-1.8;1.0;5;2.7
15/03/10;0;0.0;16;2.6;1.6;1;4.5
18/03/10;0.32;0.0;17.1;1.4;0.9;3;2.3
19/03/10;0.32;0.0;15.3;3.2;0.7;3;1.8
20/03/10;0.64;0.0;13;5.9;0.5;6;1.4
21/03/10;1.28;0.0;16.9;10.8;0.6;3;1.5
22/03/10;0.32;2.0;17.8;9.7;0.9;1;2.8
23/03/10;3.20;0.2;21.3;6.2;2.0;3;6.3
24/03/10;2.24;0.0;19.7;7.2;0.9;6;2.0
25/03/10;0.96;0.0;21;7;1.0;3;2.1
26/03/10;4.48;0.0;18.6;10.2;2.0;3;5.3
27/03/10;2.88;0.0;18;8.7;2.2;7;4.5
28/03/10;0.64;0.0;18.6;0;1.3;3;3.8
29/03/10;3.84;0.0;20.8;6.9;1.5;3;3.9
30/03/10;2.88;0.0;17.3;8.2;1.9;1;4.4
31/03/10;1.28;1.4;16;10;3.3;7;5.8
01/04/10;0;0.2;16.6;5.8;2.2;5;6.1
02/04/10;0;1.6;15.8;5.1;1.3;3;4.1
03/04/10;0;1.6;16.6;6.2;0.9;6;2.1
04/04/10;0.96;0.0;12.6;4.5;1.1;5;3.1
05/04/10;10.89;47.6;15.5;4.2;1.0;4;3.8
06/04/10;66.95;0.0;19.5;1.9;1.1;5;2.8
07/04/10;13.77;0.0;23.2;3.1;1.3;1;5.1
08/04/10;3.52;0.0;22;5.3;2.4;6;6.7
13/04/10;1.60;0.0;15.9;5.3;2.9;1;6.0
14/04/10;3.52;0.0;18.4;2.9;1.3;5;3.4
15/04/10;2.88;0.0;21.2;2.3;1.8;3;6.4
16/04/10;0.64;0.0;19.8;6.3;3.0;6;5.9
