gg/mm/aaaa;Vel Med [m/s];Dir Med;Vel Max [m/s]
01/01/10;1.0;E;3.0
02/01/10;2.1;O;6.9
03/01/10;1.3;SE;3.3
04/01/10;1.2;NE;3.3
05/01/10;1.8;NO;6.1
06/01/10;0.8;N;4.9
07/01/10;0.9;NE;2.0
08/01/10;0.9;S;3.1
09/01/10;2.1;SO;7.7
10/01/10;0.7;NE;0.7
11/01/10;0.7;E;1.1
12/01/10;0.5;SE;1.2
13/01/10;1.9;E;6.0
14/01/10;1.7;N;5.1
15/01/10;6.0;NE;8.5
16/01/10;3.5;N;6.7
17/01/10;0.4;SE;1.4
18/01/10;1.9;S;5.3
19/01/10;0.5;SE;1.3
20/01/10;0.6;E;1.4
21/01/10;3.1;N;6.2
22/01/10;2.3;S;5.9
23/01/10;2.8;N;5.6
24/01/10;0.5;E;1.6
25/01/10;3.3;SE;6.6
26/01/10;5.6;NE;7.6
27/01/10;6.8;NE;11.1
28/01/10;0.8;NE;4.0
29/01/10;0.6;SE;1.3
30/01/10;1.2;SE;4.4
31/01/10;3.4;NE;7.8
01/02/10;1.0;NE;2.4
02/02/10;0.8;E;1.6
03/02/10;0.5;NE;1.2
04/02/10;0.8;NE;1.9
05/02/10;1.5;S;3.4
06/02/10;1.3;SO;4.1
07/02/10;3.3;NE;6.5
08/02/10;2.4;E;5.4
09/02/10;2.8;S;8.2
10/02/10;4.3;NE;7.8
11/02/10;2.6;E;6.1
12/02/10;1.9;E;5.8
13/02/10;0.9;S;2.0
14/02/10;3.0;E;7.1
15/02/10;1.4;NE;5.2
16/02/10;2.7;NE;6.2
17/02/10;2.4;N;6.1
18/02/10;1.0;NE;2.4
19/02/10;1.9;E;4.3
20/02/10;1.7;O;3.3
21/02/10;1.1;E;5.4
22/02/10;1.1;E;1.9
23/02/10;1.1;NE;2.8
24/02/10;0.9;SE;2.4
25/02/10;1.0;S;3.6
26/02/10;2.1;E;4.7
27/02/10;0.9;E;1.9
28/02/10;0.9;O;2.4
01/03/10;1.3;SO;3.2
02/03/10;1.2;SO;3.4
03/03/10;1.7;SE;7.6
04/03/10;4.3;NE;8.5
05/03/10;3.9;NE;7.2
06/03/10;1.6;N;3.6
07/03/10;5.2;SE;8.6
08/03/10;5.0;NE;7.7
09/03/10;6.3;NE;8.3
10/03/10;6.8;NE;10.1
11/03/10;3.3;N;6.7
12/03/10;0.7;E;1.9
13/03/10;0.8;NE;1.7
14/03/10;1.0;S;2.7
15/03/10;1.6;NE;4.5
16/03/10;0.9;SE;2.8
17/03/10;1.2;S;3.8
18/03/10;0.9;E;2.3
19/03/10;0.7;E;1.8
20/03/10;0.5;SE;1.4
21/03/10;0.6;E;1.5
22/03/10;0.9;NE;2.8
23/03/10;2.0;E;6.3
24/03/10;0.9;SE;2.0
25/03/10;1.0;E;2.1
26/03/10;2.0;E;5.3
27/03/10;2.2;SO;4.5
28/03/10;1.3;E;3.8
29/03/10;1.5;E;3.9
30/03/10;1.9;NE;4.4
31/03/10;3.3;SO;5.8
01/04/10;2.2;S;6.1
02/04/10;1.3;E;4.1
03/04/10;0.9;SE;2.1
04/04/10;1.1;S;3.1
05/04/10;1.0;O;3.8
06/04/10;1.1;S;2.8
07/04/10;1.3;NE;5.1
08/04/10;2.4;SE;6.7
09/04/10;2.9;SE;5.8
10/04/10;1.4;SE;3.4
11/04/10;3.5;SE;8.2
12/04/10;4.2;NE;6.8
13/04/10;2.9;NE;6.0
14/04/10;1.3;S;3.4
15/04/10;1.8;E;6.4
16/04/10;3.0;SE;5.9
17/04/10;3.6;N;6.4
18/04/10;1.9;SE;6.8
19/04/10;1.6;S;4.1
20/04/10;1.2;E;3.5
21/04/10;1.2;NE;3.3
22/04/10;1.1;E;2.4
23/04/10;1.2;SE;3.3
24/04/10;4.1;N;6.8
25/04/10;3.5;N;6.5
26/04/10;1.9;E;4.3
27/04/10;2.1;E;5.5
28/04/10;2.4;NE;4.7
29/04/10;1.3;SE;3.0
30/04/10;1.3;E;3.4
01/05/10;1.5;SE;3.6
02/05/10;1.2;S;2.1
03/05/10;1.4;SO;3.2
04/05/10;1.1;S;3.1
05/05/10;1.0;SO;3.0
06/05/10;1.3;S;3.2
07/05/10;0.8;S;1.7
08/05/10;1.3;E;3.4
09/05/10;1.1;E;3.1
10/05/10;1.3;E;3.7
11/05/10;0.9;NE;1.9
12/05/10;1.0;SE;3.2
13/05/10;1.7;NE;3.7
14/05/10;1.0;S;2.2
15/05/10;1.2;N;3.6
16/05/10;1.2;NE;3.7
17/05/10;1.3;E;3.5
18/05/10;1.4;E;3.3
19/05/10;1.9;SE;7.4
20/05/10;2.5;NE;5.2
21/05/10;1.7;NE;4.5
22/05/10;1.8;S;4.6
23/05/10;1.0;S;2.9
24/05/10;1.3;S;3.5
25/05/10;2.1;E;4.5
26/05/10;1.4;E;4.1
27/05/10;1.2;SE;2.9
28/05/10;1.5;SE;3.9
29/05/10;1.3;SE;3.1
30/05/10;1.5;S;3.6
31/05/10;1.6;E;5.4
01/06/10;1.5;SE;3.6
02/06/10;1.1;E;2.8
03/06/10;1.7;SE;6.6
04/06/10;1.5;NE;2.9
05/06/10;1.3;E;3.0
06/06/10;1.5;E;3.5
07/06/10;1.4;E;3.5
08/06/10;1.3;E;2.9
09/06/10;1.3;E;3.2
10/06/10;1.3;SE;3.6
11/06/10;1.4;NE;3.7
12/06/10;1.5;S;3.2
13/06/10;1.9;NO;4.3
14/06/10;1.3;E;3.0
15/06/10;1.3;SO;2.7
16/06/10;1.4;N;3.0
17/06/10;1.0;SE;5.0
18/06/10;1.9;E;4.0
19/06/10;1.1;SE;2.2
20/06/10;1.2;NE;4.1
21/06/10;2.6;S;6.4
22/06/10;1.2;SE;2.4
23/06/10;1.0;SE;2.4
24/06/10;1.1;E;3.0
25/06/10;1.2;E;2.4
26/06/10;1.0;E;2.8
27/06/10;1.1;S;2.4
28/06/10;1.3;E;2.8
29/06/10;1.2;E;2.9
30/06/10;1.2;E;2.9
01/07/10;1.2;SE;3.1
02/07/10;0.9;SE;2.2
03/07/10;1.1;NE;2.9
04/07/10;1.5;SE;3.2
05/07/10;1.2;E;2.7
06/07/10;1.2;E;7.1
07/07/10;2.3;SE;6.1
08/07/10;1.8;SE;5.0
09/07/10;1.1;E;2.2
10/07/10;1.0;SE;2.1
11/07/10;1.1;NE;2.6
12/07/10;1.5;E;2.7
13/07/10;1.3;E;2.7
14/07/10;1.0;E;2.6
15/07/10;1.2;E;2.4
16/07/10;1.1;E;2.4
17/07/10;1.6;E;3.1
18/07/10;3.4;SE;6.5
19/07/10;4.4;N;6.0
20/07/10;2.6;NE;4.0
21/07/10;1.3;SE;3.1
22/07/10;1.2;E;2.5
23/07/10;1.8;NE;3.9
24/07/10;2.2;S;6.1
25/07/10;1.5;SE;3.9
26/07/10;2.4;E;4.8
27/07/10;1.2;SE;6.5
28/07/10;1.4;NE;3.0
29/07/10;1.3;E;7.0
30/07/10;2.8;SE;6.5
31/07/10;2.5;N;4.9
01/08/10;1.2;SE;2.4
02/08/10;1.3;E;3.0
03/08/10;1.1;E;2.5
04/08/10;2.4;E;5.5
05/08/10;1.4;E;5.0
06/08/10;1.1;E;2.4
07/08/10;1.2;SE;2.9
08/08/10;1.4;E;3.1
09/08/10;1.3;SE;3.0
10/08/10;1.1;E;2.6
11/08/10;1.3;E;2.9
12/08/10;1.1;E;2.3
13/08/10;0.9;E;3.2
14/08/10;1.0;N;3.2
15/08/10;2.0;S;5.1
16/08/10;2.2;SE;4.9
17/08/10;1.4;SE;3.3
18/08/10;1.3;NE;3.2
19/08/10;1.2;S;2.5
20/08/10;0.9;NE;2.5
21/08/10;2.8;SE;6.1
22/08/10;2.5;N;5.6
23/08/10;1.3;S;3.8
24/08/10;1.2;NE;2.6
25/08/10;1.2;SE;2.5
26/08/10;1.1;SE;2.6
27/08/10;1.5;E;3.4
28/08/10;2.1;S;5.7
29/08/10;3.9;N;6.3
30/08/10;1.5;E;7.9
31/08/10;1.3;E;3.6
01/09/10;1.1;S;3.4
02/09/10;0.9;SE;1.8
03/09/10;2.2;SE;5.9
04/09/10;1.3;SE;2.8
05/09/10;1.1;E;2.7
06/09/10;1.0;N;2.2
07/09/10;1.2;E;3.6
08/09/10;1.6;E;3.0
09/09/10;1.3;S;3.4
10/09/10;2.4;NE;5.9
11/09/10;3.1;N;6.0
12/09/10;1.4;E;3.7
13/09/10;1.6;SE;6.4
14/09/10;3.2;E;6.0
15/09/10;1.2;S;2.8
16/09/10;1.1;SE;2.6
