"PART_SEQ";"PART_LEVEL";"PART_ID";"PART_NAME_L";"PART_PARENT_NAME_L";"REMA_CONCENTRATION";"REMA_DATE";"STAT_ID";"STAT_CODE";"STAT_NAME_I";"STAT_NAME_D"
2;1;1320;Aceraceae;Polline;0;01.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;02.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;03.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;04.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;05.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;06.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;07.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;08.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;09.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;10.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;11.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;12.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;13.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;14.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;15.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;16.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;17.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;18.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;19.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;20.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;21.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;22.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;23.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;24.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;25.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;26.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;27.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;28.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;29.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;30.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;31.10.2016 00:00:00;69;FI1;Firenze;
2;1;1320;Aceraceae;Polline;0;01.11.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;01.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;02.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;1,99;03.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0,40;04.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0,40;05.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;06.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0,40;07.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;08.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;09.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;10.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0,40;11.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;12.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;13.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0,40;14.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;15.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0,40;16.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;17.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0,40;18.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;19.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;20.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;21.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0,40;22.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;23.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;24.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;25.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;26.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;27.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0,40;28.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;29.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;30.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;31.10.2016 00:00:00;69;FI1;Firenze;
6;1;1327;Amaranthaceae;Polline;0;01.11.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;01.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;02.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;03.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;04.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;05.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;06.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;07.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;08.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;09.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;10.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;11.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;12.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;13.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;14.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;15.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;16.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;17.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;18.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;19.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;20.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;21.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;22.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;23.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;24.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;25.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;26.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;27.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;28.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;29.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;30.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;31.10.2016 00:00:00;69;FI1;Firenze;
10;2;1374;Alnus;Betulaceae;0;01.11.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;01.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;02.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;03.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;04.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;05.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;06.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;07.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;08.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;09.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;10.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;11.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;12.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;13.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;14.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;15.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;16.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;17.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;18.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;19.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;20.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;21.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;22.10.2016 00:00:00;69;FI1;Firenze;
11;2;1373;Betula;Betulaceae;0;23.10.2016 00:00:00;69;FI1;Firenze;
