gg/mm/aaaa;Precipitazione [mm]
01/01/09;15.6
02/01/09;0.4
03/01/09;0.2
04/01/09;0.0
05/01/09;0.0
06/01/09;0.0
07/01/09;0.4
08/01/09;7.6
09/01/09;0.0
10/01/09;0.0
11/01/09;0.0
12/01/09;0.0
13/01/09;0.0
14/01/09;3.0
15/01/09;1.6
16/01/09;0.0
17/01/09;0.0
18/01/09;0.0
19/01/09;6.2
20/01/09;2.6
21/01/09;12.4
22/01/09;0.2
23/01/09;0.0
24/01/09;12.0
25/01/09;10.6
26/01/09;0.0
27/01/09;11.2
28/01/09;0.0
29/01/09;0.0
30/01/09;0.0
31/01/09;0.0
01/02/09;0.0
02/02/09;3.2
03/02/09;18.6
04/02/09;11.6
05/02/09;3.4
06/02/09;9.6
07/02/09;13.2
08/02/09;6.4
09/02/09;1.2
10/02/09;0.0
11/02/09;2.0
12/02/09;0.0
13/02/09;0.0
14/02/09;0.0
15/02/09;0.0
16/02/09;0.0
17/02/09;0.0
18/02/09;1.6
19/02/09;0.0
20/02/09;0.0
21/02/09;0.0
22/02/09;0.0
23/02/09;0.0
24/02/09;0.0
25/02/09;0.6
26/02/09;0.0
27/02/09;0.0
28/02/09;0.0
01/03/09;0.0
02/03/09;6.0
03/03/09;0.4
04/03/09;7.6
05/03/09;31.4
06/03/09;10.0
07/03/09;0.0
08/03/09;0.0
09/03/09;0.0
10/03/09;0.0
11/03/09;0.4
12/03/09;0.0
13/03/09;0.0
14/03/09;0.0
15/03/09;0.0
16/03/09;0.0
17/03/09;0.0
18/03/09;0.0
19/03/09;0.0
20/03/09;4.4
21/03/09;0.0
22/03/09;0.0
23/03/09;0.0
24/03/09;0.0
25/03/09;6.0
26/03/09;0.0
27/03/09;0.0
28/03/09;0.0
29/03/09;24.6
30/03/09;28.0
31/03/09;0.0
01/04/09;9.2
02/04/09;15.4
03/04/09;1.4
04/04/09;0.0
05/04/09;0.0
06/04/09;0.0
07/04/09;0.0
08/04/09;0.0
09/04/09;0.0
10/04/09;0.0
11/04/09;2.6
12/04/09;0.0
13/04/09;0.0
14/04/09;0.0
15/04/09;0.0
16/04/09;0.0
17/04/09;5.2
18/04/09;0.6
19/04/09;5.8
20/04/09;2.0
21/04/09;0.0
22/04/09;0.0
23/04/09;0.0
24/04/09;3.4
25/04/09;0.0
26/04/09;0.0
27/04/09;4.0
28/04/09;0.8
29/04/09;1.4
30/04/09;3.0
01/05/09;0.2
02/05/09;0.0
03/05/09;6.4
04/05/09;0.0
05/05/09;0.0
06/05/09;0.0
07/05/09;0.0
08/05/09;0.0
09/05/09;0.0
10/05/09;0.0
11/05/09;0.0
12/05/09;0.0
13/05/09;0.0
14/05/09;0.0
15/05/09;0.0
16/05/09;0.0
17/05/09;0.0
18/05/09;0.0
19/05/09;0.0
20/05/09;0.0
21/05/09;0.0
22/05/09;0.0
23/05/09;0.0
24/05/09;0.0
25/05/09;0.0
26/05/09;0.0
27/05/09;0.0
28/05/09;0.0
29/05/09;0.0
30/05/09;0.0
31/05/09;0.0
01/06/09;5.0
02/06/09;5.8
03/06/09;0.0
04/06/09;0.0
05/06/09;0.0
06/06/09;0.0
07/06/09;1.4
08/06/09;26.6
09/06/09;0.0
10/06/09;0.0
11/06/09;0.0
12/06/09;0.0
13/06/09;0.0
14/06/09;0.0
15/06/09;0.0
16/06/09;0.0
17/06/09;0.0
18/06/09;0.0
19/06/09;0.0
20/06/09;0.0
21/06/09;5.6
22/06/09;0.0
23/06/09;2.0
24/06/09;0.0
25/06/09;0.0
26/06/09;0.0
27/06/09;12.8
28/06/09;7.0
29/06/09;0.8
30/06/09;0.0
01/07/09;0.0
02/07/09;0.0
03/07/09;0.0
04/07/09;0.0
05/07/09;0.0
06/07/09;0.0
07/07/09;13.4
08/07/09;0.0
09/07/09;0.0
10/07/09;0.0
11/07/09;0.2
12/07/09;0.2
13/07/09;0.0
14/07/09;0.0
15/07/09;0.0
16/07/09;0.0
17/07/09;0.0
18/07/09;0.0
19/07/09;0.0
20/07/09;0.0
21/07/09;0.0
22/07/09;0.0
23/07/09;0.0
24/07/09;0.0
25/07/09;0.0
26/07/09;0.0
27/07/09;0.0
28/07/09;0.0
29/07/09;0.0
30/07/09;0.0
31/07/09;0.0
01/08/09;0.0
02/08/09;0.0
03/08/09;0.0
04/08/09;1.0
05/08/09;0.0
06/08/09;0.0
07/08/09;0.0
08/08/09;0.0
09/08/09;3.2
10/08/09;0.0
