gg/mm/aaaa;Max [°C];Min [°C]
02/01/09;7.4;-2.3
03/01/09;9.6;-1.3
04/01/09;5.8;-1.8
05/01/09;8.7;-7.1
06/01/09;8.1;-6.3
07/01/09;9;-0.2
08/01/09;8.3;3.1
09/01/09;10.1;3.2
10/01/09;5.8;2.2
11/01/09;11.2;3.6
12/01/09;13.2;-0.4
13/01/09;14;1
14/01/09;10;4.7
15/01/09;7.3;4.2
16/01/09;9.7;0.4
17/01/09;14.3;-1.1
18/01/09;9.2;1.2
19/01/09;13.4;5.9
20/01/09;12.4;8.9
21/01/09;13.4;8
22/01/09;11.5;3.1
23/01/09;10.1;-0.3
24/01/09;5.8;1.5
25/01/09;9.1;4.8
26/01/09;9.8;0.6
27/01/09;9.1;1.9
28/01/09;10.9;4.5
29/01/09;10.8;-1.3
30/01/09;13.7;0.6
31/01/09;12.4;-1.8
01/02/09;12.7;0.4
02/02/09;6.2;2.8
03/02/09;10.5;5.8
04/02/09;10.4;2.7
05/02/09;10.1;4.1
06/02/09;15.6;8
07/02/09;14.3;8.1
08/02/09;14.4;4.5
09/02/09;8.7;4.5
10/02/09;13.4;6.3
11/02/09;12.2;3
12/02/09;11.6;0.9
13/02/09;10.1;-1.8
14/02/09;8.2;-6.6
15/02/09;9.1;-5.6
16/02/09;9.8;-6.3
17/02/09;9.4;-1.5
18/02/09;5.5;0.4
19/02/09;6.5;-6.2
20/02/09;9.7;-3.8
21/02/09;12.5;-1.2
22/02/09;14.3;-2.6
23/02/09;12.6;1.2
24/02/09;13;0.2
25/02/09;15.1;2
26/02/09;11.9;-2.2
27/02/09;13.3;3.3
28/02/09;15;0.4
01/03/09;17.9;4.4
02/03/09;11.8;7.9
03/03/09;13.7;8.6
04/03/09;13.8;5.7
05/03/09;11.3;8.3
06/03/09;11.5;2
07/03/09;14.3;0.9
08/03/09;17.9;-0.1
09/03/09;18.9;5.5
10/03/09;17.3;-1.3
11/03/09;16.5;5.3
12/03/09;18;2.1
13/03/09;16.7;0.7
14/03/09;16;2.1
15/03/09;18.7;5.5
16/03/09;19;9.5
17/03/09;17.9;2.2
18/03/09;21.2;2.1
19/03/09;21.5;6.2
20/03/09;17.8;5.5
21/03/09;9.1;3.7
22/03/09;9.2;-1.6
23/03/09;16.2;-0.5
24/03/09;17.4;5.8
25/03/09;11.9;-1.7
26/03/09;15.7;3.2
27/03/09;19.2;2.5
28/03/09;17.2;7.4
29/03/09;14.9;9.3
30/03/09;15.5;10.6
31/03/09;20.6;12.5
01/04/09;16;8.9
02/04/09;18.7;9.8
03/04/09;20.6;5.3
04/04/09;22;6.4
05/04/09;18.7;7.6
06/04/09;22.2;7.9
07/04/09;22.3;11.2
08/04/09;22.1;6.6
09/04/09;21.2;5.7
10/04/09;25.5;8.5
11/04/09;24.8;10.8
12/04/09;23.8;9.5
13/04/09;22.3;11.4
14/04/09;23.1;9.1
15/04/09;25.4;8.7
16/04/09;24.7;7.8
17/04/09;18.2;9.9
18/04/09;19.8;8
19/04/09;17.7;9.8
20/04/09;18.5;8.5
21/04/09;21.6;13
22/04/09;19.7;14.3
23/04/09;22.7;6.5
24/04/09;24.5;9.4
25/04/09;20.5;5.3
26/04/09;25;10.8
27/04/09;15.9;10.4
28/04/09;19.8;11.4
29/04/09;21.3;11.2
30/04/09;16.4;6.7
01/05/09;18.3;7.1
02/05/09;24.3;7.5
03/05/09;28.4;7
04/05/09;22.3;6.8
05/05/09;26.3;13.3
06/05/09;21.3;7
07/05/09;24.8;9.4
08/05/09;25.6;7.1
09/05/09;26.5;9.3
10/05/09;27.4;9.1
11/05/09;28.4;9.1
12/05/09;28.7;10.8
13/05/09;29.8;11.8
14/05/09;29.2;8.9
15/05/09;28.3;13.7
16/05/09;24.5;12.6
17/05/09;30.5;14.1
18/05/09;32.3;13.9
19/05/09;30.1;9.9
20/05/09;30.5;10.5
21/05/09;33.4;13.5
22/05/09;33.8;12.4
23/05/09;30.9;14
24/05/09;33.4;14.1
25/05/09;35.3;15
26/05/09;36.4;14.4
27/05/09;35.7;15.9
28/05/09;31.1;15.7
29/05/09;26.3;9.8
30/05/09;30.1;10.6
31/05/09;26.9;14.2
01/06/09;19.4;14.7
02/06/09;22.3;13.4
03/06/09;26.3;11.2
04/06/09;27.5;14.8
05/06/09;28.6;13.7
